wave,at_w
400,2.006736091
410,1.723691898
420,1.493269366
430,1.300361355
440,1.091111576
450,0.919594765
460,0.804554413
470,0.715905656
480,0.627843482
490,0.560617848
500,0.50469694
510,0.448841753
520,0.403173796
530,0.35902459
540,0.328364354
550,0.29641283
560,0.267349433
570,0.242585989
580,0.2186171
590,0.200759089
600,0.182776124
610,0.166124456
620,0.157182658
630,0.144336247
640,0.133592129
650,0.120466412
660,0.114849418
670,0.114555761
680,0.098739639
690,0.081441162
700,0.058778927
710,0.033572428
720,0.022687516
730,0.034289487
740,0.032337478
750,0.031706596
