wave,at_w
400,0.93457719
410,0.810449425
420,0.708920383
430,0.619700946
440,0.545331051
450,0.476332921
460,0.412341499
470,0.360186379
480,0.318651214
490,0.286394651
500,0.255785912
510,0.22819183
520,0.2101707
530,0.186392464
540,0.167038107
550,0.152202061
560,0.13628414
570,0.122811459
580,0.110978966
590,0.106556494
600,0.094727278
610,0.092608709
620,0.092866683
630,0.087759133
640,0.08322703
650,0.078924679
660,0.086335076
670,0.095804151
680,0.090297539
690,0.066826287
700,0.049742402
710,0.031461076
720,0.041568406
730,0.029577357
740,0.023674086
750,0.036794916
