wave,station,at_w,boat
360,StationOUT-R01,4.826086827,kildir
361,StationOUT-R01,4.153554857,kildir
362,StationOUT-R01,4.585625316,kildir
363,StationOUT-R01,4.423523635,kildir
364,StationOUT-R01,4.427337796,kildir
365,StationOUT-R01,4.293948976,kildir
366,StationOUT-R01,4.269522737,kildir
367,StationOUT-R01,4.250882055,kildir
368,StationOUT-R01,4.145071025,kildir
369,StationOUT-R01,4.104167562,kildir
370,StationOUT-R01,4.079147911,kildir
371,StationOUT-R01,3.94289727,kildir
372,StationOUT-R01,3.921657577,kildir
373,StationOUT-R01,3.90580747,kildir
374,StationOUT-R01,3.920368114,kildir
375,StationOUT-R01,3.787716551,kildir
376,StationOUT-R01,3.748070916,kildir
377,StationOUT-R01,3.653064137,kildir
378,StationOUT-R01,3.570394864,kildir
379,StationOUT-R01,3.595627987,kildir
380,StationOUT-R01,3.475859243,kildir
381,StationOUT-R01,3.384379415,kildir
382,StationOUT-R01,3.427405804,kildir
383,StationOUT-R01,3.402200467,kildir
384,StationOUT-R01,3.258787077,kildir
385,StationOUT-R01,3.262307375,kildir
386,StationOUT-R01,3.211401286,kildir
387,StationOUT-R01,3.12197653,kildir
388,StationOUT-R01,3.092157127,kildir
389,StationOUT-R01,3.055894933,kildir
390,StationOUT-R01,3.05649903,kildir
391,StationOUT-R01,2.975212748,kildir
392,StationOUT-R01,2.983554035,kildir
393,StationOUT-R01,2.891788046,kildir
394,StationOUT-R01,2.832646115,kildir
395,StationOUT-R01,2.812644462,kildir
396,StationOUT-R01,2.765016034,kildir
397,StationOUT-R01,2.754656224,kildir
398,StationOUT-R01,2.660029965,kildir
399,StationOUT-R01,2.629260204,kildir
400,StationOUT-R01,2.583819781,kildir
401,StationOUT-R01,2.566741566,kildir
402,StationOUT-R01,2.517425714,kildir
403,StationOUT-R01,2.528884408,kildir
404,StationOUT-R01,2.50431883,kildir
405,StationOUT-R01,2.458500743,kildir
406,StationOUT-R01,2.38252627,kildir
407,StationOUT-R01,2.369053839,kildir
408,StationOUT-R01,2.331811779,kildir
409,StationOUT-R01,2.304570323,kildir
410,StationOUT-R01,2.271041376,kildir
411,StationOUT-R01,2.208560208,kildir
412,StationOUT-R01,2.180278745,kildir
413,StationOUT-R01,2.179695145,kildir
414,StationOUT-R01,2.103903924,kildir
415,StationOUT-R01,2.107180499,kildir
416,StationOUT-R01,2.053686331,kildir
417,StationOUT-R01,2.045185308,kildir
418,StationOUT-R01,2.012759825,kildir
419,StationOUT-R01,1.990792489,kildir
420,StationOUT-R01,1.973069286,kildir
421,StationOUT-R01,1.941269965,kildir
422,StationOUT-R01,1.896607207,kildir
423,StationOUT-R01,1.858211868,kildir
424,StationOUT-R01,1.848885322,kildir
425,StationOUT-R01,1.808835359,kildir
426,StationOUT-R01,1.801183496,kildir
427,StationOUT-R01,1.775474474,kildir
428,StationOUT-R01,1.722442817,kildir
429,StationOUT-R01,1.724788902,kildir
430,StationOUT-R01,1.70343583,kildir
431,StationOUT-R01,1.659396582,kildir
432,StationOUT-R01,1.653902374,kildir
433,StationOUT-R01,1.622079992,kildir
434,StationOUT-R01,1.596452154,kildir
435,StationOUT-R01,1.587290878,kildir
436,StationOUT-R01,1.562441411,kildir
437,StationOUT-R01,1.551765921,kildir
438,StationOUT-R01,1.505113144,kildir
439,StationOUT-R01,1.502250216,kildir
440,StationOUT-R01,1.477624335,kildir
441,StationOUT-R01,1.45093999,kildir
442,StationOUT-R01,1.419436146,kildir
443,StationOUT-R01,1.409112796,kildir
444,StationOUT-R01,1.404342833,kildir
445,StationOUT-R01,1.384019246,kildir
446,StationOUT-R01,1.365546703,kildir
447,StationOUT-R01,1.355212691,kildir
448,StationOUT-R01,1.335193477,kildir
449,StationOUT-R01,1.290403406,kildir
450,StationOUT-R01,1.306027499,kildir
451,StationOUT-R01,1.277839887,kildir
452,StationOUT-R01,1.251805014,kildir
453,StationOUT-R01,1.232724663,kildir
454,StationOUT-R01,1.222170889,kildir
455,StationOUT-R01,1.211037806,kildir
456,StationOUT-R01,1.19308684,kildir
457,StationOUT-R01,1.184125947,kildir
458,StationOUT-R01,1.161047404,kildir
459,StationOUT-R01,1.148135711,kildir
460,StationOUT-R01,1.132379545,kildir
461,StationOUT-R01,1.117305647,kildir
462,StationOUT-R01,1.112091978,kildir
463,StationOUT-R01,1.088342238,kildir
464,StationOUT-R01,1.078613855,kildir
465,StationOUT-R01,1.06326443,kildir
466,StationOUT-R01,1.062536537,kildir
467,StationOUT-R01,1.02762423,kildir
468,StationOUT-R01,1.024229398,kildir
469,StationOUT-R01,1.015984366,kildir
470,StationOUT-R01,1.000678489,kildir
471,StationOUT-R01,0.990782305,kildir
472,StationOUT-R01,0.968878924,kildir
473,StationOUT-R01,0.967035058,kildir
474,StationOUT-R01,0.943940485,kildir
475,StationOUT-R01,0.93696509,kildir
476,StationOUT-R01,0.925982916,kildir
477,StationOUT-R01,0.92667216,kildir
478,StationOUT-R01,0.907027085,kildir
479,StationOUT-R01,0.897335529,kildir
480,StationOUT-R01,0.888972983,kildir
481,StationOUT-R01,0.880327819,kildir
482,StationOUT-R01,0.864003048,kildir
483,StationOUT-R01,0.859039123,kildir
484,StationOUT-R01,0.861261764,kildir
485,StationOUT-R01,0.849016937,kildir
486,StationOUT-R01,0.830857543,kildir
487,StationOUT-R01,0.829914324,kildir
488,StationOUT-R01,0.821982697,kildir
489,StationOUT-R01,0.815889246,kildir
490,StationOUT-R01,0.795823391,kildir
491,StationOUT-R01,0.787172059,kildir
492,StationOUT-R01,0.783247775,kildir
493,StationOUT-R01,0.776122739,kildir
494,StationOUT-R01,0.76977659,kildir
495,StationOUT-R01,0.755016444,kildir
496,StationOUT-R01,0.757341149,kildir
497,StationOUT-R01,0.75019299,kildir
498,StationOUT-R01,0.732997949,kildir
499,StationOUT-R01,0.723633973,kildir
500,StationOUT-R01,0.716049884,kildir
501,StationOUT-R01,0.710031197,kildir
502,StationOUT-R01,0.707505722,kildir
503,StationOUT-R01,0.698914124,kildir
504,StationOUT-R01,0.690512666,kildir
505,StationOUT-R01,0.681076298,kildir
506,StationOUT-R01,0.677325295,kildir
507,StationOUT-R01,0.671296254,kildir
508,StationOUT-R01,0.662921794,kildir
509,StationOUT-R01,0.651141345,kildir
510,StationOUT-R01,0.647320711,kildir
511,StationOUT-R01,0.644175872,kildir
512,StationOUT-R01,0.628915556,kildir
513,StationOUT-R01,0.632302157,kildir
514,StationOUT-R01,0.623136532,kildir
515,StationOUT-R01,0.610060704,kildir
516,StationOUT-R01,0.604260891,kildir
517,StationOUT-R01,0.614386508,kildir
518,StationOUT-R01,0.586702284,kildir
519,StationOUT-R01,0.590615648,kildir
520,StationOUT-R01,0.577049514,kildir
521,StationOUT-R01,0.585874254,kildir
522,StationOUT-R01,0.574252298,kildir
523,StationOUT-R01,0.568604133,kildir
524,StationOUT-R01,0.561805733,kildir
525,StationOUT-R01,0.555399265,kildir
526,StationOUT-R01,0.553194966,kildir
527,StationOUT-R01,0.543827729,kildir
528,StationOUT-R01,0.532811065,kildir
529,StationOUT-R01,0.533005553,kildir
530,StationOUT-R01,0.525401416,kildir
531,StationOUT-R01,0.522297207,kildir
532,StationOUT-R01,0.524895371,kildir
533,StationOUT-R01,0.511708781,kildir
534,StationOUT-R01,0.506605348,kildir
535,StationOUT-R01,0.501614693,kildir
